 Casos notificados (suspeitos/confirmados) de Dengue por local de residência - Minas Gerais
Notificações por Reg Saúde (CIR)/Municíp Res e Semana epidemiológica notific.
Período:2021
"Reg Saúde (CIR)/Municíp Res";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"31002 Guaxupé";3;3;4;7;2;3;4;2;3;1;4;6;4;1;-;4;6;-;-;4;2;3;1;2;-;1;2;2;3;1;-;1;2;3;-;2;2;1;2;1;1;4;1;-;1;-;2;2;2;3;1;2;-;111
".....  MUZAMBINHO";-;-;-;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
".....  MONTE BELO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;-;4;1;2;-;2;-;1;1;1;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;21
".....  GUARANESIA";-;1;1;-;-;1;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;1;-;1;-;1;1;1;-;1;-;1;-;1;-;-;-;-;18
".....  GUAXUPE";2;2;1;3;1;2;1;-;-;-;2;4;2;1;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;2;-;1;-;-;-;1;-;-;-;-;-;-;-;2;1;1;-;-;-;33
".....  JURUAIA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  SAO PEDRO DA UNIAO";-;-;2;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  ARCEBURGO";1;-;-;1;1;-;-;1;1;1;-;2;1;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;3;-;-;-;-;1;-;-;-;1;2;-;22
"31003 Itajubá";3;3;4;5;3;6;7;9;6;7;5;7;9;4;4;1;3;4;-;1;1;-;-;2;1;-;-;2;3;1;-;1;3;2;-;2;-;2;1;-;1;2;1;-;2;2;1;3;1;2;-;2;-;129
".....  MARIA DA FE";-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  PARAISOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  PEDRALVA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BRAZOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
".....  SAO JOSE DO ALEGRE";-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  PIRANGUCU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  ITAJUBA";3;2;3;4;3;6;7;9;5;7;5;7;9;3;4;1;-;3;-;1;1;-;-;2;1;-;-;2;2;1;-;1;2;2;-;2;-;2;1;-;1;1;1;-;1;2;1;3;1;2;-;2;-;116
".....  SAPUCAI-MIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"31004 Lavras";1;-;2;1;2;5;2;1;1;-;9;4;3;7;11;3;2;5;18;4;3;2;3;8;2;1;2;-;-;1;1;-;-;-;2;-;-;1;1;1;-;-;-;1;1;-;1;2;-;-;1;-;-;115
".....  INGAI";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  PERDOES";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  LAVRAS";-;-;1;-;2;1;-;-;1;-;-;1;1;-;1;-;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;16
".....  LUMINARIAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  RIBEIRAO VERMELHO";1;-;-;1;-;2;-;1;-;-;3;2;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;14
".....  NEPOMUCENO";-;-;1;-;-;1;2;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;12
".....  IJACI";-;-;-;-;-;1;-;-;-;-;-;1;2;6;10;2;1;4;15;3;3;2;3;7;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65
"31006 Poços de Caldas";-;1;-;-;2;-;3;1;2;3;2;-;1;2;-;1;2;2;1;1;3;2;-;-;-;-;-;-;-;-;2;-;1;2;1;1;1;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;41
".....  IBITIURA DE MINAS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  ANDRADAS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  POCOS DE CALDAS";-;1;-;-;2;-;2;1;2;2;2;-;1;2;-;1;2;1;1;1;2;2;-;-;-;-;-;-;-;-;1;-;1;2;1;1;1;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;36
".....  CALDAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31007 Pouso Alegre";3;2;7;1;6;4;3;4;8;5;6;3;-;7;2;-;4;2;1;1;-;8;2;1;-;-;-;-;-;-;-;-;-;-;2;2;1;3;1;-;-;1;-;2;-;-;1;2;2;3;-;-;-;100
".....  INCONFIDENTES";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
".....  ESTIVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  OURO FINO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  SAO JOAO DA MATA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SANTA RITA DO SAPUCAI";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7
".....  TOLEDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  JACUTINGA";1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;2;-;-;-;-;10
".....  CACHOEIRA DE MINAS";1;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  CAMANDUCAIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SAO SEBASTIAO DA BELA VISTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CAREACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CONGONHAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  EXTREMA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
".....  CONCEICAO DOS OUROS";-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  POUSO ALEGRE";1;2;2;1;5;3;2;4;6;3;3;3;-;4;1;-;-;-;-;-;-;3;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;1;-;-;3;-;-;-;52
".....  BORDA DA MATA";-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
".....  MONTE SIAO";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31008 São Lourenço";4;3;2;2;3;2;3;6;2;2;5;2;5;2;1;-;1;1;2;-;-;-;-;1;-;1;1;-;-;-;-;2;-;-;1;-;-;1;1;1;2;2;3;-;1;1;1;-;1;-;-;1;-;69
".....  CARMO DE MINAS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CAXAMBU";-;1;-;2;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  ITAMONTE";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
".....  PASSA QUATRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
".....  BAEPENDI";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;2;-;-;-;-;-;-;-;-;-;-;8
".....  ITANHANDU";1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  SERITINGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
".....  SAO LOURENCO";1;-;-;-;1;1;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;12
".....  CRUZILIA";2;2;2;-;1;-;1;2;1;2;3;1;4;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;27
"31009 São Sebastião do Paraíso";4;4;11;6;8;2;1;5;7;6;1;5;10;7;3;2;2;4;4;3;3;2;2;-;-;1;3;4;-;1;-;-;3;-;-;-;4;3;1;2;-;2;1;4;4;2;3;4;1;2;3;4;-;154
".....  SAO TOMAS DE AQUINO";-;-;1;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;7
".....  ITAMOGI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  JACUI";1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  PRATAPOLIS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
".....  MONTE SANTO DE MINAS";-;-;1;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;7
".....  SAO SEBASTIAO DO PARAISO";3;4;8;6;8;2;-;5;6;6;-;4;7;6;2;2;1;4;4;3;3;2;2;-;-;1;3;3;-;1;-;-;3;-;-;-;4;3;1;1;-;2;1;3;3;2;3;4;1;2;2;2;-;133
"31010 Três Corações";-;-;-;-;1;-;-;1;4;3;3;1;4;13;24;4;8;2;1;5;-;-;-;1;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;80
".....  TRES CORACOES";-;-;-;-;1;-;-;1;4;2;3;1;4;13;24;4;8;2;1;5;-;-;-;1;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;79
".....  CAMBUQUIRA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31011 Três Pontas";1;3;2;6;5;1;4;2;7;2;3;7;1;3;5;-;2;4;-;1;2;1;1;2;2;-;1;1;-;-;-;-;1;-;1;-;2;-;2;1;1;1;-;2;1;1;1;1;-;-;1;3;1;89
".....  BOA ESPERANCA";-;2;-;2;-;-;1;-;-;2;1;2;1;2;1;-;1;2;-;1;2;-;1;2;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;27
".....  TRES PONTAS";1;-;1;4;5;1;3;1;7;-;1;5;-;1;3;-;1;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;2;1;-;1;-;2;1;1;1;1;-;-;1;2;1;55
".....  ILICINEA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  SANTANA DA VARGEM";-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"31012 Varginha";7;10;8;13;16;14;6;9;5;26;9;12;13;16;6;6;6;10;6;19;9;14;6;3;4;2;4;4;10;8;3;8;4;4;7;6;1;7;2;4;1;4;6;8;9;2;3;7;10;10;4;-;4;395
".....  MONSENHOR PAULO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  SAO GONCALO DO SAPUCAI";-;1;1;-;-;1;-;3;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;10
".....  VARGINHA";6;9;6;12;15;12;6;6;5;25;9;11;13;13;6;5;4;9;5;4;7;12;1;1;3;2;4;4;9;8;3;8;4;4;7;4;1;7;-;4;1;4;6;7;8;2;3;7;9;10;3;-;4;338
".....  ELOI MENDES";-;-;1;1;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;14;2;1;4;2;1;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;1;-;-;-;-;1;-;-;-;-;35
".....  CAMPANHA";1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;10
"31013 Barbacena";-;1;-;-;1;1;-;-;1;1;1;1;-;1;-;-;1;2;-;-;-;1;1;1;1;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;22
".....  ANTONIO CARLOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BARBACENA";-;1;-;-;1;-;-;-;1;1;1;1;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;14
".....  CARANDAI";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"31015 São João Del Rei";4;3;5;4;-;3;2;3;2;2;5;25;13;11;28;12;29;20;25;38;20;22;22;17;14;4;2;8;1;2;-;-;4;1;-;3;5;4;1;2;1;-;1;2;2;-;6;8;7;17;11;9;-;430
".....  CONCEICAO DA BARRA DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  MADRE DE DEUS DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  SAO JOAO DEL REI";2;1;2;-;-;3;-;3;2;2;4;19;8;9;23;11;24;10;20;29;15;13;10;11;12;3;-;3;1;1;-;-;3;1;-;1;5;2;1;2;1;-;1;2;2;-;2;4;-;7;8;5;-;288
".....  SAO TIAGO";1;-;-;-;-;-;1;-;-;-;-;2;2;-;-;-;-;1;1;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
".....  TIRADENTES";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  BARROSO";1;1;1;-;-;-;1;-;-;-;-;1;-;1;5;-;2;2;2;3;2;6;10;3;1;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;1;3;-;-;1;-;52
".....  LAGOA DOURADA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SANTA CRUZ DE MINAS";-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;3;1;2;-;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
".....  RITAPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;1;2;2;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
".....  CORONEL XAVIER CHAVES";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
